"T","Points:0","Points:1","Points:2"
1623,35156,28125,0
1623,37500,28125,0
1623,32812,30469,0
1623,35156,30469,0
1623,37500,30469,0
1623,32812,32812,0
1623,35156,32812,0
1623,37500,32812,0
1623,28125,32812,0
1623,30469,32812,0
1623,32812,32812,0
1623,28125,35156,0
1623,30469,35156,0
1623,32812,35156,0
1623,28125,37500,0
1623,30469,37500,0
1623,32812,37500,0
1623,32812,32812,0
1623,35156,32812,0
1623,37500,32812,0
1623,32812,35156,0
1623,35156,35156,0
1623,37500,35156,0
1623,32812,37500,0
1623,35156,37500,0
1623,37500,37500,0
1623,37500,0,0
1623,39844,0,0
1623,42188,0,0
1623,37500,2343.8,0
1623,39844,2343.8,0
1623,42188,2343.8,0
1623,37500,4687.5,0
1623,39844,4687.5,0
1623,42188,4687.5,0
1623,42188,0,0
1623,44531,0,0
1623,46875,0,0
1623,42188,2343.8,0
1623,44531,2343.8,0
1623,46875,2343.8,0
1623,42188,4687.5,0
1623,44531,4687.5,0
1623,46875,4687.5,0
1623,37500,4687.5,0
1623,39844,4687.5,0
1623,42188,4687.5,0
1623,37500,7031.2,0
1623,39844,7031.2,0
1623,42188,7031.2,0
1623,37500,9375,0
1623,39844,9375,0
1623,42188,9375,0
1623,42188,4687.5,0
1623,44531,4687.5,0
1623,46875,4687.5,0
1623,42188,7031.2,0
1623,44531,7031.2,0
1623,46875,7031.2,0
1623,42188,9375,0
1623,44531,9375,0
1623,46875,9375,0
1623,46875,0,0
1623,49219,0,0
1623,51562,0,0
1623,46875,2343.8,0
1623,49219,2343.8,0
1623,51562,2343.8,0
1623,46875,4687.5,0
1623,49219,4687.5,0
1623,51562,4687.5,0
1623,51562,0,0
1623,53906,0,0
1623,56250,0,0
1623,51562,2343.8,0
1623,53906,2343.8,0
1623,56250,2343.8,0
1623,51562,4687.5,0
1623,53906,4687.5,0
1623,56250,4687.5,0
1623,46875,4687.5,0
1623,49219,4687.5,0
1623,51562,4687.5,0
1623,46875,7031.2,0
1623,49219,7031.2,0
1623,51562,7031.2,0
1623,46875,9375,0
1623,49219,9375,0
1623,51562,9375,0
1623,51562,4687.5,0
1623,53906,4687.5,0
1623,56250,4687.5,0
1623,51562,7031.2,0
1623,53906,7031.2,0
1623,56250,7031.2,0
1623,51562,9375,0
1623,53906,9375,0
1623,56250,9375,0
1623,37500,9375,0
1623,39844,9375,0
1623,42188,9375,0
1623,37500,11719,0
1623,39844,11719,0
1623,42188,11719,0
1623,37500,14062,0
1623,39844,14062,0
1623,42188,14062,0
1623,42188,9375,0
1623,44531,9375,0
1623,46875,9375,0
1623,42188,11719,0
1623,44531,11719,0
1623,46875,11719,0
1623,42188,14062,0
1623,44531,14062,0
1623,46875,14062,0
1623,37500,14062,0
1623,39844,14062,0
1623,42188,14062,0
1623,37500,16406,0
1623,39844,16406,0
1623,42188,16406,0
1623,37500,18750,0
1623,39844,18750,0
1623,42188,18750,0
1623,42188,14062,0
1623,44531,14062,0
1623,46875,14062,0
1623,42188,16406,0
1623,44531,16406,0
1623,46875,16406,0
1623,42188,18750,0
1623,44531,18750,0
1623,46875,18750,0
1623,46875,9375,0
1623,49219,9375,0
1623,51562,9375,0
1623,46875,11719,0
1623,49219,11719,0
1623,51562,11719,0
1623,46875,14062,0
1623,49219,14062,0
1623,51562,14062,0
1623,51562,9375,0
1623,53906,9375,0
1623,56250,9375,0
1623,51562,11719,0
1623,53906,11719,0
1623,56250,11719,0
1623,51562,14062,0
1623,53906,14062,0
1623,56250,14062,0
1623,46875,14062,0
1623,49219,14062,0
1623,51562,14062,0
1623,46875,16406,0
1623,49219,16406,0
1623,51562,16406,0
1623,46875,18750,0
1623,49219,18750,0
1623,51562,18750,0
1623,51562,14062,0
1623,53906,14062,0
1623,56250,14062,0
1623,51562,16406,0
1623,53906,16406,0
1623,56250,16406,0
1623,51562,18750,0
1623,53906,18750,0
1623,56250,18750,0
1623,56250,0,0
1623,58594,0,0
1623,60938,0,0
1623,56250,2343.8,0
1623,58594,2343.8,0
1623,60938,2343.8,0
1623,56250,4687.5,0
1623,58594,4687.5,0
1623,60938,4687.5,0
1623,60938,0,0
1623,63281,0,0
1623,65625,0,0
1623,60938,2343.8,0
1623,63281,2343.8,0
1623,65625,2343.8,0
1623,60938,4687.5,0
1623,63281,4687.5,0
1623,65625,4687.5,0
1623,56250,4687.5,0
1623,58594,4687.5,0
1623,60938,4687.5,0
1623,56250,7031.2,0
1623,58594,7031.2,0
1623,60938,7031.2,0
1623,56250,9375,0
1623,58594,9375,0
1623,60938,9375,0
1623,60938,4687.5,0
1623,63281,4687.5,0
1623,65625,4687.5,0
1623,60938,7031.2,0
1623,63281,7031.2,0
1623,65625,7031.2,0
1623,60938,9375,0
1623,63281,9375,0
1623,65625,9375,0
1553.6,46875,1.1719e+05,0
1552.2,48047,1.1719e+05,0
1550.7,49219,1.1719e+05,0
1546.7,46875,1.1836e+05,0
